,matchId,gameId,gameMode,gameVersion,championName,championId,teamPosition,win,allInPings,assistMePings,assists,baronKills,basicPings,champExperience,champLevel,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,pushPings,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamEarlySurrendered,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,takedowns,goldPerMinute,damagePerMinute,baronTakedowns,dragonTakedowns,turretTakedowns.1,gameLength,killParticipation,visionScorePerMinute,jungleCsBefore10Minutes,enemyJungleMonsterKills,controlWardsPlaced,wardTakedowns,kda,teamDamagePercentage,maxCsAdvantageOnLaneOpponent,maxLevelLeadLaneOpponent,primaryStyle1,primaryStyle2,primaryStyle3,primaryStyle4,subStyle1,subStyle2
0,KR_6947512425,6947512425,CLASSIC,14.3.558.8314,TahmKench,223.0,TOP,False,3,0.0,5,0,0,11499,14.0,0,1,2,1452,4588,1452,63449,0,14,1.0,0,0,True,1,0,False,False,False,False,False,True,0,8583,8025.0,0,TOP,0,0,1,1054,2031,3084,3047,3110,3076,3340,19,0.0,1,TOP,1.0,0,1,248,46133,14956,17788,0,0,0,1,0,0,0,17,1,0,17396,4077,35831,3230,0,0.0,SOLO,0,108,35,46,9,4,4,5,12,511,False,41,1950,72973,19089,1063,58053,7816,0,106,496,389,1.0,0,9444,56,4433,1,2,10,0,0,16,1,0,9,6.0,263.9777816178435,587.0490880366785,0.0,0.0,2.0,1951.0644157,0.2142857142857142,0.5145641054598817,0.0,0.0,1.0,0.0,0.4285714285714285,0.1353605464772874,7.0,1.0,8437,8401,8444,8242,9104,9111
1,KR_6926106538,6926106538,CLASSIC,14.2.556.3141,Vi,254.0,JUNGLE,True,0,2.0,11,0,0,11448,14.0,0,2,4,851,37646,851,31112,0,6,3.0,1,2,True,6,0,False,False,False,False,False,False,0,10294,9550.0,0,JUNGLE,0,0,0,3071,6610,1036,1037,3111,1028,3364,23,2.0,7,JUNGLE,363.0,3,2,644,0,0,4886,0,106,1,0,1,0,0,21,2,0,107031,17969,25241,4571,0,0.0,NONE,0,106,0,102,9,3,4,15,11,676,False,34,1745,159430,18914,0,33826,12574,0,10,319,149,1.0,0,52398,944,3698,1,2,0,0,0,23,3,6,5,18.0,353.8717335998277,650.1861219115444,0.0,2.0,2.0,1745.4800045,0.4285714285714285,0.8048535432514529,47.6000000834465,1.0,3.0,6.0,3.0,0.1520477961135374,4.0,1.0,9923,8143,8138,8105,9104,9111
2,KR_6926106538,6926106538,CLASSIC,14.2.556.3141,Nocturne,56.0,JUNGLE,False,0,0.0,9,0,0,10978,13.0,0,3,4,0,36053,0,24929,0,8,3.0,0,2,True,0,0,True,False,False,False,False,False,0,10054,8725.0,0,JUNGLE,0,0,1,6692,3073,3133,3111,0,0,3340,21,1.0,5,JUNGLE,0.0,2,1,488,2290,1639,14302,0,131,0,1,0,0,0,2,7,0,143538,15797,26746,1231,0,0.0,NONE,0,102,29,33,16,12,11,4,4,121,False,144,1745,200882,19164,0,42370,19578,0,10,395,221,1.0,0,55053,1727,1321,0,0,8,0,0,24,3,1,12,14.0,345.63252882496715,658.7697430494972,0.0,2.0,0.0,1745.4800045,0.5833333333333334,0.8391188775534145,62.000000059604645,0.0,3.0,1.0,1.75,0.2177710819374704,32.60000002384186,2.0,8008,9111,9104,8014,8106,8138
3,KR_7019449900,7019449900,CLASSIC,14.7.571.9528,Volibear,106.0,JUNGLE,False,0,0.0,2,0,0,4962,8.0,0,6,2,65,65,65,10447,0,5,1.0,0,0,True,0,0,False,False,False,False,False,True,5,5653,5325.0,0,JUNGLE,0,0,0,1102,6610,3047,2022,1029,0,3364,16,0.0,3,NONE,231.0,0,1,312,18047,1109,2616,0,64,0,0,0,0,0,5,2,0,22788,4266,13035,4929,1,0.0,SUPPORT,0,25,47,35,3,3,4,9,11,343,False,16,1011,63335,5690,0,15704,5176,0,6,262,74,1.0,0,22499,314,52,0,0,3,0,0,11,1,1,3,5.0,335.36558783265167,337.5401156105913,0.0,0.0,0.0,1011.480382,0.8333333333333334,0.6862084637825128,48.000000059604645,6.0,1.0,1.0,1.0,0.2164550335563987,8.0,1.0,8005,9111,9105,8299,8234,8232
4,KR_6930060068,6930060068,CLASSIC,14.2.556.3141,Nidalee,76.0,JUNGLE,False,0,0.0,6,0,0,10088,13.0,0,0,6,0,6201,0,16403,0,14,1.0,0,1,True,2,0,False,False,False,False,False,False,0,8869,7875.0,0,JUNGLE,0,0,2,0,2003,3100,4646,3020,0,3340,16,1.0,4,JUNGLE,0.0,2,1,283,65144,9036,9638,0,92,0,1,0,1,0,0,2,0,13825,1082,23763,6044,0,0.0,NONE,0,196,130,112,144,5,4,14,11,45,False,1,1570,114536,10402,0,34040,10831,227,17,202,300,3.0,0,35565,282,638,0,0,9,0,0,11,1,1,6,10.0,338.8623486297044,397.412645137881,0.0,1.0,0.0,1570.5257117,0.3846153846153846,0.4562904761740649,56.000000059604645,2.0,1.0,1.0,0.7142857142857143,0.1391657791430022,12.0,0.0,8128,8143,8138,8135,8210,8232
5,KR_7002858549,7002858549,CLASSIC,14.6.570.6276,LeeSin,64.0,JUNGLE,True,1,11.0,10,2,0,17049,17.0,0,9,7,1578,41745,1578,56634,0,4,3.0,2,2,True,3,0,True,False,False,False,False,False,13,15976,15375.0,0,JUNGLE,1,2,0,6610,3047,1038,3071,3053,6692,3340,23,2.0,14,JUNGLE,464.0,9,2,877,62229,5896,11494,0,167,0,0,0,0,0,36,7,0,137745,28908,33926,6500,0,0.0,NONE,0,239,193,167,11,5,4,17,11,252,False,21,1821,285305,36496,713,47599,25794,0,30,580,154,1.0,0,85329,1691,2178,1,5,2,0,0,23,5,2,11,24.0,526.3510853410642,1202.3884092283652,2.0,2.0,5.0,1821.2204627,0.8571428571428571,0.7649294063031579,56.000000059604645,7.0,2.0,2.0,6.0,0.3326208233906942,58.000000059604645,4.0,8010,9111,9104,8014,8304,8347
6,KR_6918296401,6918296401,CLASSIC,14.2.555.1545,Akali,84.0,MIDDLE,True,0,0.0,1,0,0,7965,11.0,0,3,5,1108,1108,1108,4736,0,0,1.0,2,0,True,5,0,False,False,False,False,False,True,0,6816,5925.0,0,MIDDLE,0,0,0,1054,1052,4646,3020,1052,1082,3364,17,1.0,8,NONE,0.0,8,2,0,41896,10994,5829,0,0,0,0,0,0,0,1,8,0,10073,1600,3271,6362,0,0.0,SUPPORT,0,98,15,31,8,1,12,1,4,229,False,1,988,52380,12595,0,9291,1691,0,113,33,0,1.0,0,410,0,190,0,0,0,0,0,12,1,2,5,9.0,413.7306555807159,764.5117575010148,0.0,0.0,0.0,988.4784518,0.6428571428571429,0.7463988957068287,0.0,0.0,1.0,2.0,9.0,0.3327529723521312,29.0,1.0,8021,8009,9105,8299,8451,8473
7,KR_6984191858,6984191858,CLASSIC,14.5.565.1230,Akali,84.0,MIDDLE,True,1,2.0,8,0,0,14665,15.0,0,2,9,2348,3929,2348,13341,0,6,3.0,0,0,True,10,3,True,False,False,False,False,True,0,10976,10000.0,0,MIDDLE,0,1,2,1054,4645,2420,3020,3100,2055,3364,23,1.0,4,MIDDLE,0.0,3,1,361,78457,12079,12433,0,0,0,0,0,0,0,4,8,0,15459,925,12444,2072,0,0.0,SOLO,0,126,12,52,15,1,14,5,4,52,False,2,2026,100470,13377,0,26021,2487,0,159,95,173,1.0,0,6553,372,1144,0,2,5,0,0,30,4,1,14,12.0,324.94319240881424,396.0316539545505,1.0,1.0,2.0,2026.7224652,0.2608695652173913,0.9040667935202152,0.0,0.0,3.0,1.0,2.0,0.0959302259419567,5.0,2.0,8112,8143,8138,8106,8451,8444
8,KR_6951571366,6951571366,CLASSIC,14.3.558.8314,Blitzcrank,53.0,UTILITY,False,0,0.0,1,0,0,2741,6.0,0,0,2,0,0,0,3397,0,4,0.0,0,0,True,0,0,False,False,False,False,False,True,0,3270,3100.0,0,UTILITY,0,0,0,3866,3020,3145,1052,0,0,3340,9,0.0,1,NONE,0.0,0,1,392,2410,1498,3208,0,0,0,0,0,0,0,0,5,0,2398,834,3057,6473,0,0.0,SUPPORT,0,12,7,10,1,1,14,2,4,213,False,11,727,6215,2455,0,6281,0,0,15,26,44,0.0,0,1406,123,16,0,0,0,0,0,4,0,0,2,2.0,269.65937777584764,202.50761258774145,0.0,0.0,0.0,727.6354064,0.25,0.348633441287807,0.0,0.0,0.0,0.0,0.5,0.1241413933423517,9.0,1.0,8128,8126,8138,8106,8210,8237
9,KR_6951571366,6951571366,CLASSIC,14.3.558.8314,Neeko,518.0,UTILITY,True,0,0.0,3,0,0,4381,8.0,0,4,4,273,273,273,1628,0,2,1.0,1,0,True,2,1,False,False,False,False,False,True,0,4275,3450.0,0,UTILITY,0,0,0,3866,0,3152,1001,2055,0,3364,12,1.0,3,NONE,0.0,2,2,405,14843,6684,1469,0,0,0,0,0,0,0,0,10,0,3344,565,4116,4928,0,0.0,SUPPORT,0,28,14,21,2,2,14,3,4,345,False,20,727,19310,7492,0,5730,104,0,15,58,24,1.0,0,1122,242,144,0,0,0,0,0,11,2,0,6,6.0,352.5389662571744,617.8564492070393,0.0,0.0,0.0,727.6354064,0.3529411764705882,0.9236268765855632,0.0,0.0,1.0,0.0,3.0,0.230370235624161,2.0,2.0,8229,8226,8210,8237,8345,8347
