,matchId,gameId,gameMode,gameVersion,championName,championId,teamPosition,win,allInPings,assistMePings,assists,baronKills,basicPings,champExperience,champLevel,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,pushPings,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamEarlySurrendered,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,takedowns,goldPerMinute,damagePerMinute,baronTakedowns,dragonTakedowns,turretTakedowns.1,gameLength,killParticipation,visionScorePerMinute,jungleCsBefore10Minutes,enemyJungleMonsterKills,controlWardsPlaced,wardTakedowns,kda,teamDamagePercentage,maxCsAdvantageOnLaneOpponent,maxLevelLeadLaneOpponent,primaryStyle,subStyle
0,KR_6983296155,6983296155,CLASSIC,14.5.565.1230,Pantheon,80,MIDDLE,True,0,0,17,0,0,13622,15,0,0,6,790,4700,790,21671,0,5,4,2,0,True,7,0,False,False,False,False,False,True,2,12754,11365,0,MIDDLE,1,2,0,3071,6692,3047,3153,1029,2055,3340,26,2,9,MIDDLE,0,5,2,493,3446,233,4792,0,12,0,0,1,0,0,2,8,0,133326,26823,15504,3790,0,0,SOLO,0,107,34,27,6,5,4,4,12,278,False,26,1632,147162,28151,0,20900,5006,0,139,108,162,1,0,10388,1094,603,0,2,0,0,0,30,5,3,11,26.0,468.81627293676553,1034.7320437035642,1.0,0.0,2.0,1632.3808353,0.6666666666666666,1.1134849966396758,0.0,9.0,4.0,3.0,5.2,0.2176924369543305,18.000000029802322,1.0,"8010, 9111, 9104, 8014","8126, 8106"
1,KR_6991296940,6991296940,CLASSIC,14.5.565.1230,Sona,37,UTILITY,True,0,4,8,0,0,9981,13,0,8,5,3638,4585,3638,8509,0,5,2,1,0,True,2,0,False,False,False,False,False,True,0,8511,7825,0,UTILITY,0,2,0,6616,3877,2055,3158,3040,3113,3364,20,1,6,BOTTOM,0,3,2,403,19700,7638,2650,0,0,0,0,1,0,0,0,5,0,7032,2248,9873,5414,0,0,SUPPORT,0,73,61,85,7,5,14,3,4,383,False,11,1469,27775,10650,2152,12789,8024,3917,20,41,87,5,0,1042,763,266,0,5,2,0,0,52,3,4,18,14.0,347.5778851825237,434.9051025558176,0.0,1.0,5.0,1469.3590718,0.4827586206896552,2.128987170383513,0.0,0.0,2.0,4.0,2.8,0.1216380207708436,1.0,2.0,"8214, 8226, 8210, 8237","8017, 8009"
2,KR_6895335668,6895335668,CLASSIC,14.1.552.7117,LeeSin,64,JUNGLE,True,1,5,15,1,0,13452,15,0,2,3,0,17456,0,37762,0,8,3,1,1,True,9,7,False,False,False,False,False,False,17,13479,12508,0,JUNGLE,2,3,1,3073,3074,3047,0,3078,3044,3340,23,4,9,JUNGLE,0,2,2,431,25562,2432,11640,0,93,1,0,1,0,0,7,2,0,98540,17376,29224,6447,0,0,NONE,0,205,206,98,12,21,11,4,4,545,False,26,2083,166981,21937,2449,44302,18340,0,36,312,233,1,0,42879,2127,3438,0,1,5,0,0,30,3,5,15,24.0,388.1582337488921,631.7116840558361,1.0,1.0,1.0,2083.5969514,0.6666666666666666,0.8684671761455863,28.0,10.0,3.0,5.0,3.0,0.1941357739178723,0.0,0.0,"8112, 8143, 8138, 8106","8014, 9111"
3,KR_6895335668,6895335668,CLASSIC,14.1.552.7117,Leona,89,UTILITY,True,0,2,18,0,0,11007,13,0,41,13,796,4311,796,46258,0,10,11,0,0,True,3,2,False,False,False,False,False,False,22,9578,9025,0,UTILITY,0,1,1,3869,3190,3110,3109,0,3117,3364,28,0,1,BOTTOM,0,0,1,528,12464,5860,7441,1,0,0,0,1,0,0,13,5,0,8667,2445,20376,692,0,0,SUPPORT,0,61,40,31,12,8,14,5,4,235,False,43,2083,25899,9583,1178,31826,3214,746,39,209,275,5,0,4768,1278,4008,0,3,5,0,0,103,11,14,44,19.0,275.8395086865647,275.9835467104725,1.0,1.0,3.0,2083.5969514,0.5277777777777778,2.976525850559124,0.0,0.0,10.0,14.0,1.9,0.084814450613361,11.0,2.0,"8439, 8463, 8473, 8242","8345, 8347"
4,KR_6903819106,6903819106,CLASSIC,14.1.553.2414,Caitlyn,51,BOTTOM,True,0,4,11,0,0,10462,13,0,6,1,2459,5703,2459,7110,0,8,0,0,0,True,6,0,False,False,False,False,False,False,0,10123,8975,0,BOTTOM,0,0,0,6672,3006,3031,2015,1042,1036,3363,20,1,4,BOTTOM,914,2,1,549,1035,765,12823,0,4,0,0,0,0,0,0,9,0,94214,16523,6219,6386,0,0,CARRY,0,47,31,23,7,5,7,3,4,111,False,15,1782,97719,17486,0,19845,4222,625,140,99,183,2,0,2469,196,801,0,1,1,0,0,6,1,1,3,15.0,340.68544834264367,588.4442106423656,1.0,0.0,1.0,1782.9907525,0.3260869565217391,0.2283090985343265,0.0,0.0,0.0,1.0,1.875,0.127667048594368,2.0,1.0,"8021, 8009, 9103, 8014","8233, 8236"
5,KR_7014612141,7014612141,CLASSIC,14.7.571.9528,RekSai,421,TOP,True,0,1,6,0,0,11000,13,0,1,4,0,4731,0,20240,0,4,2,0,0,True,8,0,False,False,False,False,False,True,8,6753,6200,0,TOP,0,0,0,3068,3047,1011,3076,0,0,3340,15,0,1,TOP,4,0,1,308,32987,3614,5815,0,0,0,0,0,0,0,3,6,0,34284,5164,17633,6582,0,0,SOLO,0,194,79,61,4,3,12,3,4,291,False,19,1400,70617,9064,0,23662,12561,0,118,121,89,1,0,3346,286,213,0,0,1,0,0,20,2,1,8,7.0,289.34197256822216,388.3280244496721,0.0,1.0,0.0,1400.5308318,0.2692307692307692,0.8792622887990807,0.0,1.0,2.0,1.0,1.75,0.13846129117972,6.0,1.0,"8437, 8446, 8444, 8451","9105, 8014"
6,KR_6965376832,6965376832,CLASSIC,14.4.562.1960,Akali,84,MIDDLE,True,0,1,6,0,0,12743,14,0,0,3,2662,4004,2662,10671,0,5,2,0,0,True,3,0,False,False,False,False,False,False,1,9385,8000,0,MIDDLE,0,0,0,1054,2031,3020,4646,4645,0,3364,15,1,3,MIDDLE,0,2,1,556,87146,17886,13567,0,4,0,0,0,0,0,6,3,0,13646,1238,8637,6362,0,0,SOLO,0,151,24,51,16,3,12,3,4,238,False,4,1692,111755,19327,0,23058,2686,0,149,108,110,1,0,10962,202,853,1,4,3,0,0,22,2,2,7,9.0,332.7428223053829,685.1746439838516,1.0,0.0,4.0,1692.4722941,0.3,0.7994050425209078,0.0,0.0,2.0,2.0,1.8,0.2075836823605515,1.0,1.0,"8021, 8009, 9105, 8299","8451, 8473"
7,KR_6903294778,6903294778,CLASSIC,14.1.553.2414,Lux,99,UTILITY,False,0,7,11,0,0,12879,14,0,0,15,1719,4882,1719,9185,0,8,5,0,0,True,3,0,False,False,False,False,False,False,2,10669,10375,0,UTILITY,0,0,2,3867,4646,1026,3020,3147,6655,3364,32,1,4,BOTTOM,0,3,1,518,65743,26689,7902,0,0,0,1,0,0,0,13,10,0,6180,834,12851,14,0,0,SUPPORT,0,68,33,172,20,8,7,6,4,662,False,69,2144,73359,27523,2575,21826,3397,824,66,222,286,3,0,1436,0,1072,1,1,9,0,0,68,5,4,33,15.0,298.44263368560496,769.9066745969549,1.0,1.0,1.0,2144.9797908,0.4166666666666667,1.9027761185939007,0.0,0.0,5.0,4.0,1.875,0.2118707298349266,49.0,3.0,"8229, 8226, 8210, 8237","8345, 8347"
8,KR_6912931867,6912931867,CLASSIC,14.1.553.2414,Warwick,19,JUNGLE,False,1,0,12,0,0,26800,18,0,30,3,4265,52856,4265,86848,0,10,0,1,3,True,6,0,False,False,False,False,False,True,4,22787,23413,0,JUNGLE,0,0,2,3065,3074,3046,3153,3742,3078,3340,25,5,23,JUNGLE,407,11,2,971,77399,22007,29136,0,163,0,0,0,0,0,5,7,0,201465,23905,39608,5544,0,0,NONE,0,129,20,77,15,22,11,4,4,207,False,66,2528,363464,48823,0,73971,43916,0,88,555,285,1,0,84600,2909,5226,0,1,10,0,0,33,0,5,14,35.0,540.7980575923565,1158.7088701234552,0.0,3.0,1.0,2528.1718573,0.5555555555555556,0.7905773624809401,42.25000002980232,3.0,0.0,5.0,3.5,0.2764891543212782,39.69999995827675,3.0,"8005, 9111, 9104, 8014","8105, 8138"
9,KR_6951513861,6951513861,CLASSIC,14.3.558.8314,Ahri,103,MIDDLE,True,0,1,12,0,0,16645,17,0,1,2,4430,7472,4430,10037,0,2,0,0,0,True,3,0,False,False,False,False,False,False,0,12266,12100,0,MIDDLE,0,0,0,1058,3157,3020,3118,4646,1052,3363,20,2,6,MIDDLE,0,4,1,1226,88320,19244,7248,0,0,0,0,1,0,0,5,3,0,19804,1725,10705,6498,0,0,SOLO,0,80,75,35,30,5,12,3,4,237,False,21,1732,152873,25182,0,18043,7655,0,212,102,87,1,0,44748,4211,89,2,4,4,0,0,25,0,1,9,18.0,424.68366328357257,871.852699039472,0.0,0.0,4.0,1733.0120691999998,0.4186046511627907,0.8890841771981474,0.0,0.0,0.0,1.0,9.0,0.1998569053773515,53.0,2.0,"8112, 8139, 8138, 8106","8210, 8226"
